timestamp,instance_type,availability_zone,spot_price,on_demand_price
2024-01-01 00:00:00,m5.large,us-east-1a,0.105,0.15000000000000002
2024-01-01 00:00:00,m5.large,us-east-1b,0.0986,0.15000000000000002
2024-01-01 00:00:00,c5.large,us-east-1a,0.0777,0.13
2024-01-01 00:00:00,c5.large,us-east-1b,0.0777,0.13
2024-01-01 00:00:00,t3.medium,us-east-1a,0.0658,0.1
2024-01-01 00:00:00,t3.medium,us-east-1b,0.1077,0.1
2024-01-01 00:30:00,m5.large,us-east-1a,0.0953,0.15000000000000002
2024-01-01 00:30:00,m5.large,us-east-1b,0.1054,0.15000000000000002
2024-01-01 00:30:00,c5.large,us-east-1a,0.0824,0.13
2024-01-01 00:30:00,c5.large,us-east-1b,0.0609,0.13
2024-01-01 00:30:00,t3.medium,us-east-1a,0.0399,0.1
2024-01-01 00:30:00,t3.medium,us-east-1b,0.0531,0.1
2024-01-01 01:00:00,m5.large,us-east-1a,0.1147,0.15000000000000002
2024-01-01 01:00:00,m5.large,us-east-1b,0.0977,0.15000000000000002
2024-01-01 01:00:00,c5.large,us-east-1a,0.0746,0.13
2024-01-01 01:00:00,c5.large,us-east-1b,0.0811,0.13
2024-01-01 01:00:00,t3.medium,us-east-1a,0.044,0.1
2024-01-01 01:00:00,t3.medium,us-east-1b,0.0471,0.1
2024-01-01 01:30:00,m5.large,us-east-1a,0.0999,0.15000000000000002
2024-01-01 01:30:00,m5.large,us-east-1b,0.1394,0.15000000000000002
2024-01-01 01:30:00,c5.large,us-east-1a,0.0882,0.13
2024-01-01 01:30:00,c5.large,us-east-1b,0.0678,0.13
2024-01-01 01:30:00,t3.medium,us-east-1a,0.0867,0.1
2024-01-01 01:30:00,t3.medium,us-east-1b,0.052,0.1
2024-01-01 02:00:00,m5.large,us-east-1a,0.1074,0.15000000000000002
2024-01-01 02:00:00,m5.large,us-east-1b,0.1017,0.15000000000000002
2024-01-01 02:00:00,c5.large,us-east-1a,0.0788,0.13
2024-01-01 02:00:00,c5.large,us-east-1b,0.077,0.13
2024-01-01 02:00:00,t3.medium,us-east-1a,0.0454,0.1
2024-01-01 02:00:00,t3.medium,us-east-1b,0.0606,0.1
2024-01-01 02:30:00,m5.large,us-east-1a,0.1032,0.15000000000000002
2024-01-01 02:30:00,m5.large,us-east-1b,0.1461,0.15000000000000002
2024-01-01 02:30:00,c5.large,us-east-1a,0.0732,0.13
2024-01-01 02:30:00,c5.large,us-east-1b,0.0861,0.13
2024-01-01 02:30:00,t3.medium,us-east-1a,0.0603,0.1
2024-01-01 02:30:00,t3.medium,us-east-1b,0.0593,0.1
2024-01-01 03:00:00,m5.large,us-east-1a,0.0916,0.15000000000000002
2024-01-01 03:00:00,m5.large,us-east-1b,0.0969,0.15000000000000002
2024-01-01 03:00:00,c5.large,us-east-1a,0.0752,0.13
2024-01-01 03:00:00,c5.large,us-east-1b,0.0781,0.13
2024-01-01 03:00:00,t3.medium,us-east-1a,0.0581,0.1
2024-01-01 03:00:00,t3.medium,us-east-1b,0.0636,0.1
2024-01-01 03:30:00,m5.large,us-east-1a,0.1036,0.15000000000000002
2024-01-01 03:30:00,m5.large,us-east-1b,0.0935,0.15000000000000002
2024-01-01 03:30:00,c5.large,us-east-1a,0.0796,0.13
2024-01-01 03:30:00,c5.large,us-east-1b,0.0956,0.13
2024-01-01 03:30:00,t3.medium,us-east-1a,0.0509,0.1
2024-01-01 03:30:00,t3.medium,us-east-1b,0.047,0.1
2024-01-01 04:00:00,m5.large,us-east-1a,0.0978,0.15000000000000002
2024-01-01 04:00:00,m5.large,us-east-1b,0.1036,0.15000000000000002
2024-01-01 04:00:00,c5.large,us-east-1a,0.1219,0.13
2024-01-01 04:00:00,c5.large,us-east-1b,0.075,0.13
2024-01-01 04:00:00,t3.medium,us-east-1a,0.0592,0.1
2024-01-01 04:00:00,t3.medium,us-east-1b,0.0533,0.1
2024-01-01 04:30:00,m5.large,us-east-1a,0.101,0.15000000000000002
2024-01-01 04:30:00,m5.large,us-east-1b,0.1097,0.15000000000000002
2024-01-01 04:30:00,c5.large,us-east-1a,0.073,0.13
2024-01-01 04:30:00,c5.large,us-east-1b,0.0767,0.13
2024-01-01 04:30:00,t3.medium,us-east-1a,0.053,0.1
